"site","rep","nh3_n","no3_no2","total_n","srp","total_p","stt","month","collection_data_formatted","tourist_season"
"BB",1,3.2,1.8,80.6,0.4,2,"decentralized","august",20170823,"In Season"
"BB",2,3.3,2.3,79.3,0.4,1.7,"decentralized","august",20170823,"In Season"
"FI",1,1.9,2.2,112,0.4,4.3,"decentralized","august",20170823,"In Season"
"FI",2,1.7,0.75,101,0.4,4.1,"decentralized","august",20170823,"In Season"
"BO",1,2.4,4.5,105,0.4,3.4,"decentralized","august",20170823,"In Season"
"BO",2,6.7,5.6,106,0.9,3,"decentralized","august",20170823,"In Season"
"DU",1,4.5,0.75,396,0.4,13.5,"decentralized","august",20170823,"In Season"
"DU",2,5,0.75,394,0.8,11.5,"decentralized","august",20170823,"In Season"
"SA",1,2.5,9.1,111,0.4,4.6,"decentralized","august",20170823,"In Season"
"SA",2,2.3,8.4,112,0.4,4.3,"decentralized","august",20170823,"In Season"
"SJ",1,4.9,3,104,0.4,2.8,"decentralized","august",20170823,"In Season"
"SJ",2,2.7,2.1,103,0.4,2.3,"decentralized","august",20170823,"In Season"
"DA",1,4.7,1.9,84.7,0.4,1.8,"decentralized","august",20170824,"In Season"
"DA",2,3.7,1.7,87.1,0.4,2.4,"decentralized","august",20170824,"In Season"
"WS",1,3.1,1.5,83.3,0.4,0.75,"decentralized","august",20170824,"In Season"
"WS",2,1.8,0.75,80.8,0.4,0.75,"decentralized","august",20170824,"In Season"
"LK",1,4.4,4.4,84.4,0.4,0.75,"decentralized","august",20170824,"In Season"
"LK",2,4.7,4.5,91.2,0.4,1.9,"decentralized","august",20170824,"In Season"
"HO",1,4,10.3,103,0.4,12,"centralized","august",20170824,"In Season"
"HO",2,3.8,12.6,98,0.4,7.3,"centralized","august",20170824,"In Season"
"WF",1,1.9,0.75,66.6,0.4,0.75,"centralized","august",20170824,"In Season"
"WF",2,2,0.75,69.9,0.4,0.75,"centralized","august",20170824,"In Season"
"WB",1,1.5,0.75,68.9,0.4,0.75,"decentralized","august",20170824,"In Season"
"WB",2,2.5,1.7,72.2,0.4,0.75,"decentralized","august",20170824,"In Season"
"BD",1,2.3,2.5,76.3,0.4,0.75,"decentralized","august",20170824,"In Season"
"BD",2,1.5,0.75,67.5,0.4,0.75,"decentralized","august",20170824,"In Season"
"FLBS",1,11.2,1.8,330,3.7,12.1,"centralized","august",20170824,"In Season"
"FLBS",2,2.7,1.5,69.6,0.4,0.75,"centralized","august",20170824,"In Season"
"YB",1,8.4,7.6,86.3,0.4,3.3,"centralized","august",20170824,"In Season"
"YB",2,8.5,6.8,82.8,0.4,0.75,"centralized","august",20170824,"In Season"
"DA",1,1.8,0.75,77,0.4,1.7,"decentralized","september",20170921,"Out of Season"
"DA",2,2.7,0.75,79.5,0.4,2.8,"decentralized","september",20170921,"Out of Season"
"WS",1,3.4,1.6,75.7,0.4,3.6,"decentralized","september",20170921,"Out of Season"
"WS",2,3.1,1.5,73.8,0.4,1.9,"decentralized","september",20170921,"Out of Season"
"LK",1,3.3,2.7,80.2,0.4,3.8,"decentralized","september",20170921,"Out of Season"
"LK",2,13.9,0.75,82.9,0.4,3,"decentralized","september",20170921,"Out of Season"
"HO",1,3.8,23.6,96,0.4,6.9,"centralized","september",20170921,"Out of Season"
"HO",2,5,22.5,93.9,0.4,9.6,"centralized","september",20170921,"Out of Season"
"WF",1,4.4,1.5,81.7,1,4.5,"centralized","september",20170921,"Out of Season"
"WF",2,5.4,2.3,72.6,1.1,1.9,"centralized","september",20170921,"Out of Season"
"WB",1,2.5,1.7,65.3,0.9,0.75,"decentralized","september",20170921,"Out of Season"
"WB",2,2.6,1.6,69.7,1,1.6,"decentralized","september",20170921,"Out of Season"
"BD",1,2.6,1.8,78,0.9,2.8,"decentralized","september",20170921,"Out of Season"
"BD",2,3.1,1.9,81.4,0.4,2.8,"decentralized","september",20170921,"Out of Season"
"FLBS",1,4,2.9,87.4,0.4,3,"centralized","september",20170921,"Out of Season"
"FLBS",2,3.3,0.75,86,1.2,2.2,"centralized","september",20170921,"Out of Season"
"YB",1,2.9,2,86,0.4,4.2,"centralized","september",20170921,"Out of Season"
"YB",2,3.2,2.1,82.5,0.4,3.3,"centralized","september",20170921,"Out of Season"
"BB",1,3.2,2.2,82.7,0.4,2.9,"decentralized","september",20170921,"Out of Season"
"BB",2,3.7,2.3,75.2,0.4,4.1,"decentralized","september",20170921,"Out of Season"
"FI",1,2.9,2.6,81.6,0.4,3.5,"decentralized","september",20170921,"Out of Season"
"FI",2,2.5,2.1,77.4,0.4,2.8,"decentralized","september",20170921,"Out of Season"
"BO",1,3.3,8.7,93.1,0.4,4.4,"decentralized","september",20170921,"Out of Season"
"BO",2,3.2,8.8,91.4,0.4,3.3,"decentralized","september",20170921,"Out of Season"
"DU",1,5.8,0.75,735,1.1,48.4,"decentralized","september",20170921,"Out of Season"
"DU",2,5.7,0.75,442,1,15.5,"decentralized","september",20170921,"Out of Season"
"SA",1,4.1,3.6,89.7,0.4,3.1,"decentralized","september",20170921,"Out of Season"
"SA",2,4.4,4.3,98.6,0.4,5.3,"decentralized","september",20170921,"Out of Season"
"SJ",1,3.6,0.75,91.6,0.4,3.2,"decentralized","september",20170921,"Out of Season"
"SJ",2,3.3,0.75,85.7,0.4,2.2,"decentralized","september",20170921,"Out of Season"
