"EFA","tourist_season","mean_prop_Centralized","mean_prop_Decentralized","sd_prop_Centralized","sd_prop_Decentralized","cv_prop_Centralized","cv_prop_Decentralized"
"c18_2w6c","In Season",0.0549497831408414,0.0633759129907153,0.0148916458402791,0.0245668110240141,0.271004633487095,0.387636404190551
"c18_2w6c","Out of Season",0.0659313593022058,0.0712211409755694,0.0144040801436777,0.0159011139394725,0.21847085053494,0.223263959572439
"c18_3w3","In Season",0.0328043025202477,0.0360444180908446,0.0132610744803332,0.0183478515613305,0.404248024238529,0.509034478378524
"c18_3w3","Out of Season",0.0395623600812162,0.0468598893200771,0.0102117930959365,0.0158561619654312,0.258118905822936,0.338373867192163
"c18_4w3","In Season",0.00933124737567525,0.00942390132562851,0.00240335925771338,0.00332060434330454,0.257560341179944,0.352359837880951
"c18_4w3","Out of Season",0.0140837346605149,0.0186772562759003,0.00523549673041062,0.00603650965171391,0.37174065378332,0.32320109348732
"c20_4w6","In Season",0.00788668292246268,0.00608535223281366,0.000306743043013817,0.0018793502840145,0.0388937968001932,0.30883180005269
"c20_4w6","Out of Season",0.00717425260474361,0.00641315620543793,0.00218898410102383,0.00104592638960103,0.305116675091211,0.163090739738127
"c20_5w3","In Season",0.0477614754004951,0.0335488458557754,0.0213300002081604,0.0154967669642464,0.446594248383275,0.461916544934693
"c20_5w3","Out of Season",0.0716196064283429,0.0616489573886115,0.0684186962674413,0.0360497885026735,0.95530678929234,0.584759094552556
"c22_6w3","In Season",0.00279127895911268,0.00214309600785928,0.000581627414600445,0.0011452465953092,0.208373087434206,0.53438884264134
"c22_6w3","Out of Season",0.00348889385786977,0.00273159750808868,0.00132642055634413,0.000937718175787106,0.380183694425718,0.343285631580194
