"tourist_season","nutrient_type","mean_conc_centralized","mean_conc_decentralized","sd_conc_centralized","sd_conc_decentralized","cv_conc_centralized","cv_conc_decentralized"
"In Season","nh3_n",5.3125,3.01411026497721,2.93410264533014,1.21501100723598,0.552301674415085,0.403107683668358
"Out of Season","nh3_n",4,3.66,0.815475321515005,1.82495053205407,0.203868830378751,0.4986203639492
"In Season","no3_no2",5.24395232823299,2.9325287415029,5.03737941606959,2.48229255666433,0.96060740082414,0.846468278906679
"Out of Season","no3_no2",7.18645117053966,2.46479197021283,10.576428387095,2.42916740841495,1.47171783904304,0.985546625342664
"In Season","srp",0.604450539906975,0.287160173063166,0.896910079429128,0.140622732646067,1.4838436236109,0.489701378662752
"Out of Season","srp",0.532104014582001,0.386705364477821,0.436380276907952,0.227531296217977,0.820103334966856,0.58838412165608
"In Season","total_n",113.275,90.515,59.1668615020266,15.0780018201647,0.522329388673817,0.16658014495017
"Out of Season","total_n",85.7625,81.525,7.34283948256168,8.11426213527761,0.0856183003359473,0.0995309676207006
"In Season","total_p",4.59837588180235,2.05563939990359,4.11981813351571,1.55486773538516,0.895928962619066,0.756391288986816
"Out of Season","total_p",4.45,2.97347598940891,2.57649632899667,0.870637405156592,0.578987939100376,0.292801222628895
